pkt_i,len,iat,dir
454,719,2051,-1
455,20,15,1
456,563,1070,1
457,20,118,-1
458,1480,8588,1
459,131,114,1
460,20,112,-1
461,1077,1002999,-1
462,563,258,1
463,20,168,-1
464,563,540,1
465,20,87,-1
466,563,1277,1
467,20,81,-1
468,563,729758,-1
469,563,241,1
470,20,131,-1
471,1440,398840,-1
472,171,46,-1
473,20,13,1
474,1440,108774,-1
475,1276,39,-1
476,20,11,1
477,457,19974,-1
478,563,4960,1
479,20,135,-1
480,563,125,1
481,20,219,-1
482,1480,188,1
483,131,29,1
484,20,66,-1
485,563,429028,-1
486,20,38827,1
487,563,126461,-1
488,20,36,1
489,563,127556,-1
490,20,37,1
491,1440,48836,-1
492,20,38,1
493,1276,52,-1
494,20,22,1
495,1358,9128,-1
496,20,27,1
497,1480,11210,1
498,131,108,1
499,20,116,-1
500,176,57984,-1
501,563,820,1
502,20,141,-1
503,563,472663,-1
504,20,36737,1
505,1358,80346,-1
506,20,35,1
507,1281,10133,-1
508,20,36,1
509,563,1119,1
510,20,141,-1
511,1480,8790632,1
512,645,126,1
513,20,154,-1
514,1077,497071,-1
515,20,36242,1
516,1077,130942,-1
517,20,37,1
518,563,838,1
519,20,131,-1
520,1480,1667,1
521,645,71,1
522,20,63,-1
523,563,966660,-1
524,20,39523,1
525,1077,127203,-1
526,20,39,1
527,563,839,1
528,20,124,-1
529,1480,3700,1
530,645,138,1
531,20,118,-1
532,563,561031,-1
533,1440,2009,-1
534,20,15,1
535,1276,45,-1
536,1358,951,-1
537,20,22,1
538,1440,258,-1
539,1276,43,-1
540,20,9,1
541,1440,81552,-1
542,1276,37,-1
543,20,12,1
544,1358,613,-1
545,1358,30460,-1
546,20,39,1
547,1358,13206,-1
548,1358,249,-1
549,20,18,1
550,563,329,1
551,20,168,-1
552,1358,562,-1
553,1440,318,-1
554,20,20,1
555,1440,47,-1
556,1194,7,-1
557,20,5,1
558,1358,68,-1
559,20,39790,1
560,1358,44245,-1
561,20,53,1
562,1358,101,-1
563,20,10,1
564,1440,28184,-1
565,20,39,1
566,1276,41,-1
567,20,10,1
568,1440,13593,-1
569,20,39,1
570,1276,39,-1
571,20,9,1
572,1440,1845,-1
573,895,22,-1
574,20,8,1
575,1440,165489,-1
576,171,41,-1
577,20,10,1
578,1440,1605,-1
579,1276,20,-1
580,20,7,1
581,1440,3347,-1
582,1276,20,-1
583,20,7,1
584,563,246,1
585,20,85,-1
586,1440,2074,-1
587,1276,19,-1
588,20,7,1
589,1358,215,-1
590,563,8,1
591,20,77,-1
592,1358,14190,-1
593,20,11,1
594,1358,698,-1
595,1358,11006,-1
596,20,38,1
597,1440,95104,-1
598,1276,50,-1
599,20,11,1
600,1440,397,-1
601,1276,24,-1
602,20,10,1
603,1440,3151,-1
604,1276,23,-1
605,20,7,1
606,1358,267,-1
607,563,694,1
608,20,134,-1
609,1480,1113,1
610,131,65,1
611,20,68,-1
612,1358,54,-1
613,1358,233,-1
614,20,17,1
615,1440,15475,-1
616,1276,42,-1
617,20,10,1
618,1440,11963,-1
619,1276,47,-1
620,20,10,1
621,1440,93528,-1
622,1276,48,-1
623,20,12,1
624,1440,1178,-1
625,1276,23,-1
626,20,8,1
627,563,287,1
628,20,214,-1
629,1358,2543,-1
630,1358,261,-1
631,20,48,1
632,563,541,1
633,20,61,-1
634,1440,5584,-1
635,1276,24,-1
636,20,7,1
637,1358,11748,-1
638,1440,463,-1
639,20,17,1
640,1276,86,-1
641,1358,98,-1
642,20,7,1
643,30,11035,-1
644,1358,16905,-1
645,20,157,1
646,1358,76512,-1
647,457,34024,-1
648,20,40,1
649,563,1042,1
650,20,118,-1
651,1440,289467,-1
652,1440,51,-1
653,20,12,1
654,603,26,-1
655,1358,6,-1
656,20,6,1
657,1440,401,-1
658,1276,11,-1
659,20,5,1
660,563,272,1
661,1358,38,-1
662,20,110,-1
663,20,37300,1
664,1440,44783,-1
665,20,55,1
666,1276,28,-1
667,20,10,1
668,1358,15,-1
669,20,8,1
670,563,283,1
671,20,205,-1
672,1440,30740,-1
673,1276,60,-1
674,20,11,1
675,1358,58,-1
676,1440,428,-1
677,20,42,1
678,1276,39,-1
679,1440,13832,-1
680,20,51,1
681,1276,42,-1
682,1358,6,-1
683,20,5,1
684,1440,181,-1
685,1276,10,-1
686,20,7,1
687,1440,284,-1
688,1276,44,-1
689,20,10,1
690,1440,160,-1
691,1276,9,-1
692,20,9,1
693,1358,159,-1
694,1358,332,-1
695,20,16,1
696,1440,83077,-1
697,1276,42,-1
698,20,10,1
699,563,229,1
700,20,132,-1
701,1358,16950,-1
702,1440,11811,-1
703,20,58,1
704,1276,57,-1
705,1358,6,-1
706,20,7,1
707,1440,241,-1
708,1440,12,-1
709,20,33,1
710,1194,21,-1
711,563,624,1
712,20,105,-1
713,1440,101,-1
714,1276,15,-1
715,20,7,1
716,1440,13268,-1
717,1276,62,-1
718,20,13,1
719,1358,62,-1
720,1440,252,-1
721,20,15,1
722,1276,49,-1
723,1358,137,-1
724,20,30,1
725,1440,884,-1
726,1276,24,-1
727,20,7,1
728,1440,241,-1
729,1276,10,-1
730,20,7,1
731,563,79,1
732,20,154,-1
733,1440,10,-1
734,1276,14,-1
735,20,6,1
736,563,360,1
737,1440,70,-1
738,805,7,-1
739,20,5,1
740,20,20,-1
741,1358,81535,-1
742,1358,146,-1
743,20,18,1
744,1358,4992,-1
745,1440,24708,-1
746,20,40,1
747,1276,42,-1
748,1440,10,-1
749,20,8,1
750,1276,20,-1
751,20,38378,1
752,1440,101999,-1
753,1276,59,-1
754,20,15,1
755,1440,1382,-1
756,1276,22,-1
757,20,8,1
758,1440,321,-1
759,1440,26,-1
760,20,9,1
761,1440,111,-1
762,1440,7,-1
763,20,7,1
764,1440,20,-1
765,1440,5,-1
766,20,6,1
767,1440,30,-1
768,1440,5,-1
769,20,7,1
770,1440,16,-1
771,1440,5,-1
772,20,5,1
773,1440,23,-1
774,1440,5,-1
775,20,5,1
776,1440,15,-1
777,1440,5,-1
778,20,5,1
779,1440,13,-1
780,1440,5,-1
781,20,18,1
782,1440,2,-1
783,1440,5,-1
784,1440,4,-1
785,1440,4,-1
786,1440,2,-1
787,1440,4,-1
788,1440,4,-1
789,20,337,1
790,563,108,1
791,20,106,-1
792,1440,8,-1
793,1276,2,-1
794,20,5,1
795,1440,259,-1
796,1276,7,-1
797,20,30,1
798,1440,205,-1
799,1276,4,-1
800,20,5,1
801,1358,227,-1
802,1440,245,-1
803,20,9,1
804,1276,15,-1
805,563,689,1
806,20,56,-1
807,563,598,1
808,20,77,-1
809,1440,79704,-1
810,1276,50,-1
811,20,11,1
812,563,510,1
813,20,165,-1
814,1358,29288,-1
815,1440,234,-1
816,20,18,1
817,1276,37,-1
818,1358,139,-1
819,20,11,1
820,367,14644,-1
821,563,1038,1
822,20,114,-1
823,1480,70665,1
824,131,153,1
825,20,112,-1
826,1480,702,1
827,645,96,1
828,20,93,-1
829,563,555716,-1
830,563,921,1
831,20,117,-1
832,1358,10463,-1
833,1440,3797,-1
834,20,40,1
835,1276,41,-1
836,1358,7,-1
837,20,7,1
838,563,36456,1
839,20,144,-1
840,1440,38823,-1
841,1276,51,-1
842,20,10,1
843,1358,26,-1
844,20,36359,1
845,565,1528,-1
846,20,56,1
847,1440,4544,-1
848,20,38,1
849,1276,43,-1
850,20,10,1
851,1358,6082,-1
852,20,40,1
853,563,363,1
854,20,180,-1
855,1358,4925,-1
856,1358,147,-1
857,20,20,1
858,1440,9297,-1
859,1276,48,-1
860,20,10,1
861,1440,4136,-1
862,1276,23,-1
863,20,8,1
864,1358,196,-1
865,563,68,1
866,20,71,-1
867,1358,3552,-1
868,1440,2236,-1
869,20,16,1
870,1276,34,-1
871,1358,37853,-1
872,20,26,1
873,1440,45243,-1
874,1276,49,-1
875,20,10,1
876,1358,27,-1
877,1358,1889,-1
878,20,15,1
879,1440,4691,-1
880,1276,46,-1
881,20,10,1
882,1335,1883,-1
883,1358,3312,-1
884,20,39,1
885,1440,3725,-1
886,1276,24,-1
887,20,7,1
888,1358,120,-1
889,1358,3712,-1
890,20,41,1
891,1440,118,-1
892,1276,9,-1
893,20,14,1
894,563,278,1
895,20,70,-1
896,1358,49487,-1
897,20,37606,1
898,255,29812,-1
899,20,155,1
900,563,744,1
901,20,89,-1
902,1480,38705,1
903,131,92,1
904,20,99,-1
905,563,975697,-1
906,563,749,1
907,20,115,-1
908,1480,4481,1
909,1159,278,1
910,20,102,-1
911,563,485208,-1
912,20,39705,1
913,563,126854,-1
914,20,39,1
915,563,941,1
916,20,90,-1
917,1480,4669863,1
918,131,124,1
919,20,77,-1
920,1077,40,1
921,20,45,-1
922,563,518883,-1
923,563,916,1
924,20,123,-1
925,1077,128144,-1
926,1480,10242,1
927,131,102,1
928,20,58,-1
929,1077,10818,1
930,20,138,-1
931,563,270368,-1
932,20,38071,1
933,563,126770,-1
934,20,52,1
935,563,1233,1
936,20,125,-1
937,563,126857,-1
938,20,36959,1
939,563,130556,-1
940,20,53,1
941,563,855,1
942,20,102,-1
943,563,126446,-1
944,1077,293,1
945,20,102,-1
946,563,570359,-1
947,563,21752,1
948,20,158,-1
949,563,453690,-1
950,20,39667,1
951,1480,1600894,1
952,131,65,1
953,20,82,-1
954,1480,42882,1
955,131,95,1
956,20,90,-1
957,563,414103,-1
958,20,51,1
959,563,894,1
960,20,102,-1
961,563,128715,-1
962,563,799,1
963,20,105,-1
964,1480,450836,1
965,131,61,1
966,20,68,-1
967,1480,353591,1
968,131,83,1
969,20,70,-1
970,1480,277,1
971,131,60,1
972,20,77,-1
973,1480,72,1
974,131,61,1
975,20,78,-1
976,563,476914,-1
977,563,847,1
978,20,106,-1
979,1358,122374,-1
980,563,1147,1
981,20,96,-1
982,282,5699,-1
983,563,827,1
984,20,93,-1
985,1077,5685,1
986,20,128,-1
987,1480,736,1
988,131,83,1
989,20,55,-1
990,563,128127,-1
991,563,756,1
992,20,72,-1
993,563,227144,-1
994,20,38851,1
995,563,127661,-1
996,20,49,1
997,563,1381,1
998,20,105,-1
999,563,250822,-1
1000,563,771,1
1001,20,105,-1
1002,563,275748,-1
1003,563,287,1
1004,20,122,-1
1005,1358,665118,-1
1006,1440,156,-1
1007,20,25,1
1008,889,25,-1
1009,1077,2496,1
1010,20,68,-1
1011,563,1906,1
1012,20,108,-1
1013,563,159301,-1
1014,20,37751,1
1015,563,127290,-1
1016,20,61,1
1017,563,1301,1
1018,20,106,-1
1019,563,458922,-1
1020,20,36293,1
1021,563,136049,-1
1022,20,40,1
1023,563,255,1
1024,20,90,-1
1025,1077,506551,-1
1026,1077,1897,1
1027,20,163,-1
1028,1440,536736,-1
1029,1276,46,-1
1030,20,11,1
1031,971,25,-1
1032,563,326,1
1033,20,168,-1
1034,1480,24944,1
1035,131,108,1
1036,20,103,-1
1037,563,4618,1
1038,20,113,-1
1039,563,899,1
1040,20,110,-1
1041,563,57,1
1042,20,98,-1
1043,563,273600,-1
1044,20,36967,1
1045,563,265362,-1
1046,20,38,1
1047,1077,277,1
1048,20,108,-1
1049,563,273292,-1
1050,563,916,1
1051,20,123,-1
1052,1358,78987,-1
1053,1358,216,-1
1054,20,20,1
1055,1000,48593,-1
1056,1358,31647,-1
1057,20,50,1
1058,767,128398,-1
1059,20,40008,1
1060,563,138774,-1
1061,20,39,1
1062,563,1146,1
1063,20,101,-1
1064,563,204,1
1065,20,88,-1
1066,1358,766196,-1
1067,1440,306,-1
1068,20,18,1
1069,375,39,-1
1070,563,1344,1
1071,20,81,-1
1072,563,808,1
1073,20,75,-1
1074,563,1245,1
1075,20,67,-1
1076,563,207,1
1077,20,89,-1
1078,563,182,1
1079,20,72,-1
1080,563,100,1
1081,20,63,-1
1082,1440,523652,-1
1083,171,277,-1
1084,20,11,1
1085,1440,4235,-1
1086,1276,47,-1
1087,20,12,1
1088,1440,77087,-1
1089,1276,59,-1
1090,20,11,1
1091,1358,25,-1
1092,1440,34074,-1
1093,20,39,1
1094,1276,43,-1
1095,1358,4040,-1
1096,20,40,1
1097,1283,8010,-1
1098,563,400,1
1099,20,181,-1
1100,1358,42003,-1
1101,20,38475,1
1102,1440,43982,-1
1103,20,37,1
1104,1276,40,-1
1105,20,10,1
1106,1440,1621,-1
1107,20,38,1
1108,1276,44,-1
1109,20,15,1
1110,1077,359,1
1111,20,107,-1
1112,1127,576,-1
1113,1480,335,1
1114,645,24,1
1115,20,68,-1
1116,1440,32,-1
1117,1276,30,-1
1118,20,20,1
1119,1440,3955,-1
1120,1276,40,-1
1121,20,12,1
1122,1358,87,-1
1123,1440,5836,-1
1124,20,44,1
1125,1276,48,-1
1126,1358,72,-1
1127,20,12,1
1128,563,26617,1
1129,20,164,-1
1130,1358,76936,-1
1131,1440,200,-1
1132,20,17,1
1133,1276,25,-1
1134,1358,10320,-1
1135,20,40,1
1136,101,2059,-1
1137,1440,13075,-1
1138,20,38,1
1139,1276,276,-1
1140,1358,6,-1
1141,20,7,1
1142,1440,7240,-1
1143,1276,23,-1
1144,20,8,1
1145,1358,6270,-1
1146,1077,379,1
1147,20,154,-1
1148,1440,5409,-1
1149,1276,23,-1
1150,20,7,1
1151,1358,5342,-1
1152,1358,4559,-1
1153,20,42,1
1154,1440,4911,-1
1155,1276,31,-1
1156,20,10,1
1157,1358,97,-1
1158,1077,164,1
1159,20,128,-1
1160,1440,4770,-1
1161,1276,24,-1
1162,20,7,1
1163,1358,5187,-1
1164,1440,27420,-1
1165,20,39,1
1166,1276,41,-1
1167,1358,604,-1
1168,20,17,1
1169,1440,9073,-1
1170,1276,44,-1
1171,20,10,1
1172,1358,110,-1
1173,1440,9563,-1
1174,20,21,1
1175,1276,37,-1
1176,1358,66,-1
1177,20,12,1
1178,1358,4439,-1
1179,563,433,1
1180,20,80,-1
1181,1440,7614,-1
1182,1276,23,-1
1183,20,8,1
1184,1358,4253,-1
1185,1440,5720,-1
1186,20,35,1
1187,1276,40,-1
1188,727,61,-1
1189,20,9,1
1190,1358,13425,-1
1191,1358,135,-1
1192,20,13,1
1193,1440,6700,-1
1194,1276,46,-1
1195,20,11,1
1196,1358,5597,-1
1197,1358,6834,-1
1198,20,39,1
1199,1440,145,-1
1200,1276,21,-1
1201,20,8,1
1202,1358,221,-1
1203,1440,9764,-1
1204,20,40,1
1205,1276,41,-1
1206,1440,5363,-1
1207,20,30,1
1208,1276,36,-1
1209,1358,4056,-1
1210,20,28,1
1211,1440,30339,-1
1212,1276,52,-1
1213,20,20,1
1214,1077,304,1
1215,20,66,-1
1216,1358,5527,-1
1217,1358,9608,-1
1218,20,47,1
1219,1358,99,-1
1220,1358,5603,-1
1221,20,17,1
1222,1440,6891,-1
1223,1276,33,-1
1224,20,10,1
1225,1440,5461,-1
1226,1276,36,-1
1227,20,10,1
1228,1358,105,-1
1229,1358,4447,-1
1230,20,31,1
1231,1440,4385,-1
1232,1276,43,-1
1233,20,22,1
1234,1440,5766,-1
1235,1276,42,-1
1236,20,31,1
1237,494,9805,-1
1238,1440,22321,-1
1239,20,47,1
1240,1276,48,-1
1241,20,38386,1
1242,1440,1014,-1
1243,1276,30,-1
1244,20,9,1
1245,1440,4011,-1
1246,1276,23,-1
1247,20,8,1
1248,1358,163,-1
1249,20,95,1
1250,563,61,1
1251,20,76,-1
1252,1440,3816,-1
1253,1276,22,-1
1254,20,6,1
1255,1358,232,-1
1256,1440,8439,-1
1257,20,40,1
1258,1276,46,-1
1259,1358,7,-1
1260,20,5,1
1261,1358,10800,-1
1262,1440,601,-1
1263,20,11,1
1264,1276,31,-1
1265,1440,3716,-1
1266,20,15,1
1267,1276,29,-1
1268,1358,155,-1
1269,20,12,1
1270,1440,8363,-1
1271,1276,25,-1
1272,20,8,1
1273,1358,94,-1
1274,1440,7814,-1
1275,20,33,1
1276,1276,34,-1
1277,1358,66,-1
1278,20,9,1
1279,1077,278,1
1280,20,71,-1
1281,1358,12872,-1
1282,105,4195,-1
1283,20,22,1
1284,1358,88,-1
1285,1358,5012,-1
1286,20,38,1
1287,1440,7310,-1
1288,1276,38,-1
1289,20,20,1
1290,1440,4935,-1
1291,1276,27,-1
1292,20,10,1
1293,1358,97,-1
1294,1440,35377,-1
1295,20,38,1
1296,1276,39,-1
1297,1358,61,-1
1298,20,9,1
1299,1358,9519,-1
1300,1358,5578,-1
1301,20,19,1
1302,1440,201,-1
1303,1276,11,-1
1304,20,6,1
1305,1440,5783,-1
1306,1276,23,-1
1307,20,9,1
1308,1358,5616,-1
1309,563,324,1
1310,20,189,-1
1311,1440,6132,-1
1312,1276,47,-1
1313,20,15,1
1314,1440,5636,-1
1315,1276,47,-1
1316,20,15,1
1317,1440,6057,-1
1318,1276,34,-1
1319,20,14,1
1320,1358,126,-1
1321,1358,11718,-1
1322,20,39,1
1323,1440,5285,-1
1324,1276,22,-1
1325,20,10,1
1326,1358,161,-1
1327,1440,8538,-1
1328,20,38,1
1329,1276,41,-1
1330,1358,9,-1
1331,20,9,1
1332,155,2872,-1
1333,1440,27490,-1
1334,20,41,1
1335,1276,42,-1
1336,1358,7,-1
1337,20,5,1
1338,1440,13766,-1
1339,1276,45,-1
1340,20,21,1
1341,1358,56,-1
1342,563,281,1
1343,20,72,-1
1344,1358,12259,-1
1345,563,363,1
1346,20,213,-1
1347,1358,11698,-1
1348,563,979,1
1349,20,123,-1
1350,1440,5335,-1
1351,1276,22,-1
1352,20,9,1
1353,1358,157,-1
1354,563,99,1
1355,20,46,-1
1356,1440,6374,-1
1357,1276,23,-1
1358,20,9,1
1359,1358,134,-1
1360,1358,13862,-1
1361,20,38,1
1362,1440,454,-1
1363,1276,23,-1
1364,20,9,1
1365,1440,12492,-1
1366,1276,45,-1
1367,20,10,1
1368,1358,84,-1
1369,1440,4762,-1
1370,20,31,1
1371,1276,39,-1
1372,1358,10639,-1
1373,20,38,1
1374,550,2020,-1
1375,1358,6228,-1
1376,20,15,1
1377,1358,237,-1
1378,1358,8255,-1
1379,20,31,1
1380,563,354,1
1381,20,123,-1
1382,1440,7615,-1
1383,1276,54,-1
1384,20,12,1
1385,1358,12979,-1
1386,1358,6093,-1
1387,20,36,1
1388,563,1011,1
1389,20,89,-1
1390,1440,10690,-1
1391,1276,49,-1
1392,20,15,1
1393,1358,174,-1
1394,563,864,1
1395,20,123,-1
1396,563,952,1
1397,20,102,-1
1398,1077,413,1
1399,20,109,-1
1400,1440,2972,-1
1401,1276,34,-1
1402,20,10,1
1403,1358,6326,-1
1404,1440,7594,-1
1405,20,46,1
1406,1276,61,-1
1407,1358,6135,-1
1408,20,15,1
1409,1440,6922,-1
1410,1276,55,-1
1411,20,11,1
1412,985,45168,-1
1413,563,593,1
1414,20,135,-1
1415,1358,22035,-1
1416,563,927,1
1417,20,65,-1
1418,563,315,1
1419,20,98,-1
1420,1358,21688,-1
1421,20,39266,1
1422,515,42967,-1
1423,20,149,1
1424,563,221,1
1425,20,97,-1
1426,563,1256,1
1427,20,123,-1
1428,1440,749810,-1
1429,1276,46,-1
1430,20,12,1
1431,971,82,-1
1432,1440,3572,-1
1433,20,14,1
1434,1276,47,-1
1435,1358,5392,-1
1436,20,39,1
1437,1440,70604,-1
1438,1276,46,-1
1439,20,12,1
1440,1358,2460,-1
1441,563,1632,1
1442,20,122,-1
1443,1358,30663,-1
1444,1440,13849,-1
1445,20,37,1
1446,1276,41,-1
1447,1031,3150,-1
1448,20,15,1
