pkt_i,len,iat,dir
1,1480,0,1
2,1480,77,1
3,1201,34,1
4,20,36,-1
5,20,23,-1
6,1480,8,1
7,1199,35,1
8,20,41,-1
9,563,199790,-1
10,20,40,1
11,563,128077,-1
12,20,56,1
13,1077,8483685,1
14,20,140,-1
15,563,152928,-1
16,20,38,1
17,563,129207,-1
18,20,52,1
19,563,1219,1
20,20,108,-1
21,563,363930,-1
22,1077,269,1
23,20,99,-1
24,1077,383224,-1
25,563,2711,1
26,20,115,-1
27,563,366590,-1
28,563,283,1
29,20,127,-1
30,1358,360985,-1
31,1440,159,-1
32,20,20,1
33,889,43,-1
34,1077,3103,1
35,20,110,-1
36,563,127661,-1
37,563,3602,1
38,20,105,-1
39,1106,128360,-1
40,563,1443,1
41,20,89,-1
42,563,234472,-1
43,20,37565,1
44,563,127377,-1
45,20,38,1
46,1106,128994,-1
47,20,36,1
48,563,335,1
49,20,69,-1
50,1077,462022,-1
51,563,2073,1
52,20,108,-1
53,1077,67,1
54,20,60,-1
55,1358,723326,-1
56,1358,123,-1
57,20,14,1
58,971,1129,-1
59,1358,1624,-1
60,20,18,1
61,1440,125059,-1
62,1276,47,-1
63,20,11,1
64,1440,2887,-1
65,1276,24,-1
66,20,7,1
67,1358,938,-1
68,20,39584,1
69,1440,86944,-1
70,20,52,1
71,1276,30,-1
72,20,10,1
73,1440,2001,-1
74,20,15,1
75,1276,32,-1
76,20,9,1
77,1440,38110,-1
78,20,41,1
79,1276,41,-1
80,20,9,1
81,1358,87186,-1
82,20,38,1
83,1358,137,-1
84,20,9,1
85,563,236,1
86,20,95,-1
87,1440,1767,-1
88,1276,22,-1
89,20,9,1
90,1077,14684,1
91,20,115,-1
92,1440,23227,-1
93,1276,46,-1
94,20,11,1
95,1358,106,-1
96,20,37019,1
97,1358,50312,-1
98,1440,2608,-1
99,20,26,1
100,1276,43,-1
101,20,378,1
102,1440,37373,-1
103,1276,48,-1
104,20,10,1
105,1358,43822,-1
106,1358,169,-1
107,20,16,1
108,1440,45680,-1
109,1276,49,-1
110,20,12,1
111,1440,893,-1
112,1276,19,-1
113,20,7,1
114,1440,36391,-1
115,160,46,-1
116,20,10,1
117,563,335,1
118,20,82,-1
119,1440,44673,-1
120,1276,45,-1
121,20,11,1
122,1358,45933,-1
123,1358,165,-1
124,20,17,1
125,1358,195,-1
126,563,51,1
127,20,63,-1
128,1358,206,-1
129,1440,36806,-1
130,20,37,1
131,1276,39,-1
132,20,37414,1
133,1358,7375,-1
134,20,357,1
135,1031,12,-1
136,20,220,1
137,563,730,1
138,20,75,-1
139,563,665,1
140,20,102,-1
141,1480,26859,1
142,645,92,1
143,20,105,-1
144,1077,190536,1
145,20,154,-1
146,1077,12997,1
147,20,150,-1
148,563,162389,-1
149,20,37932,1
150,1358,33363,-1
151,20,62,1
152,563,1430,1
153,20,144,-1
154,854,107217,-1
155,563,354,1
156,20,110,-1
157,563,1032,1
158,20,108,-1
159,563,162057,-1
160,563,1096,1
161,20,126,-1
162,563,126601,-1
163,563,271,1
164,20,90,-1
165,1440,215418,-1
166,1276,61,-1
167,20,22,1
168,971,87,-1
169,20,37555,1
170,563,90176,-1
171,20,84,1
172,563,4935,1
173,20,144,-1
174,563,1505,1
175,20,91,-1
176,563,128829,-1
177,563,285,1
178,20,130,-1
179,1440,368475,-1
180,1276,55,-1
181,20,14,1
182,971,87,-1
183,20,37276,1
184,563,90492,-1
185,20,60,1
186,563,16363,1
187,20,182,-1
188,1077,696,1
189,20,123,-1
190,563,110926,-1
191,20,37077,1
192,1440,29999,-1
193,20,39,1
194,1276,43,-1
195,20,15,1
196,1358,69,-1
197,20,10,1
198,563,3001,1
199,20,140,-1
200,1233,76370,-1
201,563,5782,1
202,20,198,-1
203,563,146,1
204,20,216,-1
205,1106,124526,-1
206,20,39425,1
207,1440,425573,-1
208,20,66,1
209,481,27,-1
210,20,13,1
211,563,330,1
212,20,110,-1
213,854,130728,-1
214,20,39186,1
215,1077,187231,-1
216,20,70,1
217,563,1783,1
218,20,101,-1
219,1077,7167026,1
220,20,195,-1
221,1077,400,1
222,20,76,-1
223,563,167784,-1
224,20,40205,1
225,1106,125818,-1
226,20,54,1
227,563,1508,1
228,20,97,-1
229,1077,61,1
230,20,87,-1
231,563,125673,-1
232,563,1338,1
233,20,93,-1
234,563,227772,-1
235,563,265,1
236,20,123,-1
237,1077,133685,-1
238,563,987,1
239,20,121,-1
240,563,137184,-1
241,563,185,1
242,20,77,-1
243,1358,171226,-1
244,1440,256,-1
245,20,15,1
246,889,36,-1
247,20,36447,1
248,563,91281,-1
249,20,47,1
250,563,4797,1
251,20,130,-1
252,1077,192,1
253,20,104,-1
254,1440,92882,-1
255,1276,49,-1
256,20,11,1
257,971,35076,-1
258,20,39438,1
259,563,89614,-1
260,20,36,1
261,563,5068,1
262,20,107,-1
263,1077,56,1
264,20,53,-1
265,563,278282,-1
266,20,38727,1
267,563,145705,-1
268,20,46,1
269,1358,102737,-1
270,20,37,1
271,282,25094,-1
272,20,36,1
273,563,913,1
274,20,108,-1
275,1077,2211874,1
276,20,144,-1
277,1077,139729,1
278,20,192,-1
279,1077,111258,1
280,20,131,-1
281,1077,128108,1
282,20,171,-1
283,563,99969,-1
284,20,37749,1
285,1106,131431,-1
286,20,54,1
287,563,821,1
288,20,94,-1
289,1077,12586,1
290,20,128,-1
291,1077,30725,1
292,20,165,-1
293,1358,15153,-1
294,20,36859,1
295,1339,31718,-1
296,20,38,1
297,563,854,1
298,20,61,-1
299,1358,61351,-1
300,563,796,1
301,20,277,-1
302,1077,53708,1
303,20,156,-1
304,282,10864,-1
305,563,692,1
306,20,69,-1
307,1077,7181,1
308,20,190,-1
309,1077,90116,1
310,20,113,-1
311,1077,110707,1
312,20,138,-1
313,563,68314,-1
314,563,720,1
315,20,78,-1
316,563,132185,1
317,20,137,-1
318,563,220,1
319,20,62,-1
320,563,185,1
321,20,87,-1
322,563,46,1
323,20,55,-1
324,1077,797,1
325,20,87,-1
326,563,30720,-1
327,20,37255,1
328,1358,58414,-1
329,20,40,1
330,1339,68988,-1
331,20,40,1
332,563,344,1
333,20,98,-1
334,563,370,1
335,20,90,-1
336,1358,91696,-1
337,563,828,1
338,20,102,-1
339,1358,9840,-1
340,563,802,1
341,20,99,-1
342,602,23584,-1
343,20,36677,1
344,563,113420,-1
345,20,40,1
346,563,764,1
347,20,123,-1
348,1077,228579,-1
349,1077,7014,1
350,20,159,-1
351,563,139529,-1
352,563,264,1
353,20,166,-1
354,563,478,1
355,20,95,-1
356,1077,137754,1
357,20,169,-1
358,1077,200176,1
359,20,161,-1
360,563,157649,1
361,20,211,-1
362,563,169,1
363,20,75,-1
364,1480,8482,1
365,131,97,1
366,20,50,-1
367,563,187774,-1
368,1358,6092,-1
369,20,39,1
370,1358,41,-1
371,1440,10630,-1
372,20,37,1
373,1276,38,-1
374,1358,433,-1
375,20,16,1
376,563,504,1
377,20,108,-1
378,1440,71455,-1
379,1276,54,-1
380,20,12,1
381,1358,26,-1
382,1358,36601,-1
383,20,41,1
384,1440,8035,-1
385,1276,50,-1
386,20,10,1
387,1440,9773,-1
388,1276,47,-1
389,20,11,1
390,1358,4339,-1
391,1358,34791,-1
392,20,39,1
393,1440,34029,-1
394,1276,47,-1
395,20,11,1
396,1358,19178,-1
397,1440,18007,-1
398,20,40,1
399,1276,41,-1
400,1358,7570,-1
401,20,47,1
402,1358,328,-1
403,563,5,1
404,20,56,-1
405,1440,9718,-1
406,20,40,1
407,1276,41,-1
408,563,1029,1
409,20,99,-1
410,1358,3331,-1
411,563,857,1
412,20,126,-1
413,958,33830,-1
414,563,844,1
415,20,108,-1
416,1440,680053,-1
417,171,45,-1
418,20,14,1
419,563,977,1
420,20,98,-1
421,1077,601,1
422,20,61,-1
423,563,341545,-1
424,20,36550,1
425,563,142812,-1
426,20,37,1
427,563,1312,1
428,20,89,-1
429,563,516242,-1
430,563,241,1
431,20,103,-1
432,1440,407608,-1
433,1276,46,-1
434,20,19,1
435,971,777,-1
436,20,39661,1
437,563,126023,-1
438,20,52,1
439,563,4776,1
440,20,288,-1
441,1480,176,1
442,131,72,1
443,20,78,-1
444,563,416001,-1
445,20,40426,1
446,563,126409,-1
447,20,26,1
448,1440,131633,-1
449,20,37,1
450,1276,38,-1
451,20,10,1
452,1358,66,-1
453,20,10,1
