pkt_i,len,iat,dir
1,563,0,1
2,20,200,-1
3,563,367700,-1
4,563,1464,1
5,20,118,-1
6,563,297255,-1
7,563,271,1
8,20,90,-1
9,1440,301486,-1
10,1440,139,-1
11,1261,20,-1
12,20,295,1
13,109,127394,-1
14,563,9831,1
15,20,210,-1
16,563,221,1
17,20,221,-1
18,1077,264185,-1
19,20,39633,1
20,1077,1451252,1
21,20,192,-1
22,1077,1065,1
23,20,113,-1
24,563,74921,1
25,20,236,-1
26,1077,228196,-1
27,20,54,1
28,1077,25563,1
29,20,205,-1
30,563,103762,-1
31,563,802,1
32,20,91,-1
33,563,165024,-1
34,563,1115,1
35,20,139,-1
36,1077,2695852,1
37,20,156,-1
38,563,230225,-1
39,563,1041,1
40,20,141,-1
41,1077,492041,1
42,20,184,-1
43,563,245196,-1
44,563,1574,1
45,20,197,-1
46,1077,828845,1
47,20,477,-1
48,563,233409,-1
49,20,38151,1
50,563,127393,-1
51,20,41,1
52,563,790,1
53,20,133,-1
54,1077,2058197,1
55,20,224,-1
56,563,255171,-1
57,20,37954,1
58,563,128695,-1
59,20,185,1
60,563,3204,1
61,20,264,-1
62,1077,684018,1
63,20,159,-1
64,563,265080,-1
65,563,3504,1
66,20,374,-1
67,1077,3917366,1
68,20,283,-1
69,563,23883,1
70,20,178,-1
71,563,203970,-1
72,563,2249,1
73,20,401,-1
74,1077,285309,1
75,20,245,-1
76,563,276669,-1
77,563,3306,1
78,20,391,-1
79,1077,446268,1
80,20,286,-1
81,563,65501,1
82,20,173,-1
83,563,197696,-1
84,20,38301,1
85,563,127313,-1
86,20,51,1
87,563,848,1
88,20,87,-1
89,1077,69132,1
90,20,109,-1
91,563,2010,1
92,20,109,-1
93,563,233736,-1
94,20,38506,1
95,563,127846,-1
96,20,39,1
97,563,834,1
98,20,118,-1
99,1077,126173,1
100,20,123,-1
101,563,639747,-1
102,20,37147,1
103,563,128606,-1
104,20,76,1
105,563,1585,1
106,20,211,-1
107,1077,1812,1
108,20,154,-1
109,1077,423673,-1
110,563,1645,1
111,20,292,-1
112,563,177255,-1
113,563,313,1
114,20,98,-1
115,1440,202959,-1
116,1199,64,-1
117,20,159,1
118,1358,5998,-1
119,20,39035,1
120,767,83390,-1
121,20,71,1
122,563,7678,1
123,20,166,-1
124,1077,34,1
125,20,84,-1
126,563,204647,-1
127,20,39920,1
128,1440,93049,-1
129,20,122,1
130,1276,107,-1
131,20,41,1
132,1358,72,-1
133,20,33,1
134,1077,24709,1
135,20,164,-1
136,748,6711,-1
137,563,1117,1
138,20,180,-1
139,563,203430,-1
140,1440,4681,-1
141,1440,36,-1
142,1194,10,-1
143,20,93,1
144,176,123119,-1
145,563,1019,1
146,20,113,-1
147,1480,6805498,1
148,131,100,1
149,20,53,-1
150,1077,353483,-1
151,563,1006,1
152,20,114,-1
153,1480,2250,1
154,131,39,1
155,20,78,-1
156,563,653599,-1
157,20,37074,1
158,563,128213,-1
159,20,97,1
160,563,3670,1
161,20,504,-1
162,1077,3835,1
163,20,267,-1
164,1440,574038,-1
165,1440,49,-1
166,1440,5,-1
167,1440,5,-1
168,1440,4,-1
169,1440,5,-1
170,1440,5,-1
171,1440,3,-1
172,1440,4,-1
173,1440,5,-1
174,1081,8,-1
175,20,114,1
176,563,1122,1
177,20,144,-1
178,1358,5155,-1
179,1358,10520,-1
180,20,36,1
181,1358,103218,-1
182,1440,7210,-1
183,20,41,1
184,1440,85,-1
185,1440,10,-1
186,1112,4,-1
187,20,106,1
188,563,547,1
189,20,86,-1
190,1440,17102,-1
191,1276,48,-1
192,20,87,1
193,1440,110754,-1
194,1440,108,-1
195,1194,16,-1
196,1440,13,-1
197,1440,14,-1
198,1194,26,-1
199,20,159,1
200,1358,16537,-1
201,1358,39,-1
202,20,10,1
203,1077,4079,1
204,20,128,-1
205,1358,108106,-1
206,1358,65,-1
207,1358,15,-1
208,20,97,1
209,1440,114,-1
210,1440,9,-1
211,1194,4,-1
212,20,131,1
213,563,152,1
214,20,110,-1
215,1440,14852,-1
216,1440,28,-1
217,20,8,1
218,1194,31,-1
219,20,40685,1
220,1077,2572,1
221,20,141,-1
222,1440,70064,-1
223,1276,78,-1
224,20,147,1
225,1440,0,-1
226,1440,14,-1
227,1194,6,-1
228,1358,15,-1
229,20,210,1
230,1440,15568,-1
231,1440,66,-1
232,20,20,1
233,1440,54,-1
234,1112,15,-1
235,20,65,1
236,1440,111716,-1
237,1440,66,-1
238,20,17,1
239,1440,41,-1
240,419,12,-1
241,20,80,1
242,563,637,1
243,20,129,-1
244,1358,7060,-1
245,1440,7745,-1
246,1276,64,-1
247,1440,7,-1
248,1440,6,-1
249,1440,6,-1
250,1112,5,-1
251,20,108,1
252,563,880,1
253,20,235,-1
254,563,837,1
255,20,163,-1
256,1440,109785,-1
257,1440,87,-1
258,1194,10,-1
259,1358,10,-1
260,20,181,1
261,1440,15510,-1
262,1440,62,-1
263,20,15,1
264,1440,37,-1
265,1440,8,-1
266,1030,5,-1
267,1440,5,-1
268,1440,7,-1
269,1194,5,-1
270,20,37,1
271,563,997,1
272,20,146,-1
273,563,1632,1
274,20,228,-1
275,563,708,1
276,20,187,-1
277,1440,110139,-1
278,1276,66,-1
279,20,183,1
280,1440,255,-1
281,1276,19,-1
